epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2647.98,1.2474,0.95005,1.0172,0.63202,0.39907,0.44619,0.30576,1.46253,1.2526,1.14398,0.007921,0.007921,0.007921
44,2706.08,1.2492,0.94777,1.02873,0.54455,0.46592,0.46918,0.32483,1.46428,1.22459,1.14365,0.0078715,0.0078715,0.0078715
45,2764.97,1.23954,0.95379,1.0241,0.53866,0.46683,0.4572,0.31448,1.47448,1.26019,1.14685,0.007822,0.007822,0.007822
46,2822.46,1.2407,0.93658,1.01713,0.67214,0.36096,0.49294,0.34946,1.45456,1.21832,1.14292,0.0077725,0.0077725,0.0077725
47,2880.18,1.23402,0.95126,1.01829,0.5279,0.47027,0.48229,0.34156,1.46352,1.33644,1.14358,0.007723,0.007723,0.007723
48,2937.9,1.22709,0.92518,1.01698,0.55907,0.43619,0.46607,0.32541,1.45988,1.27385,1.13206,0.0076735,0.0076735,0.0076735
49,2994.34,1.22577,0.90953,1.01631,0.59755,0.44083,0.47886,0.33957,1.44689,1.20439,1.1331,0.007624,0.007624,0.007624
50,3050.04,1.21276,0.89266,1.0118,0.564,0.43321,0.48008,0.34116,1.4555,1.23714,1.13631,0.0075745,0.0075745,0.0075745
51,3106.5,1.2041,0.8737,1.00995,0.48299,0.51184,0.47911,0.33754,1.45429,1.22245,1.13303,0.007525,0.007525,0.007525
52,3162.82,1.19076,0.87231,0.99923,0.58313,0.46,0.48257,0.3477,1.4506,1.23651,1.12925,0.0074755,0.0074755,0.0074755
53,3218.98,1.18757,0.85808,1.00142,0.60907,0.45072,0.50505,0.35892,1.44446,1.26587,1.13487,0.007426,0.007426,0.007426
54,3274.9,1.17409,0.86918,1.00241,0.61446,0.44517,0.51628,0.37751,1.44459,1.23112,1.13768,0.0073765,0.0073765,0.0073765
55,3331.58,1.17465,0.8445,1.00001,0.54859,0.5431,0.50702,0.37353,1.45863,1.22935,1.14081,0.007327,0.007327,0.007327
56,3387.2,1.17895,0.84747,0.99681,0.48087,0.58058,0.51964,0.38312,1.452,1.21843,1.1436,0.0072775,0.0072775,0.0072775
57,3443.18,1.1786,0.84805,0.99555,0.49706,0.57575,0.51929,0.38268,1.45688,1.26241,1.13652,0.007228,0.007228,0.007228
58,3499.43,1.16365,0.82776,0.99959,0.60999,0.49295,0.55653,0.4076,1.44781,1.21035,1.13801,0.0071785,0.0071785,0.0071785
59,3555.62,1.14779,0.8076,0.98892,0.53483,0.55817,0.51355,0.37411,1.44186,1.19748,1.1331,0.007129,0.007129,0.007129
60,3610.13,1.14672,0.79954,0.98868,0.64691,0.46656,0.54278,0.39639,1.44384,1.23007,1.13688,0.0070795,0.0070795,0.0070795
61,3664.38,1.13469,0.79039,0.9849,0.6602,0.48449,0.54269,0.40345,1.42827,1.16659,1.12768,0.00703,0.00703,0.00703
62,3718.92,1.14141,0.80891,0.98361,0.58312,0.53104,0.54435,0.41123,1.44096,1.19234,1.13827,0.0069805,0.0069805,0.0069805
63,3774.23,1.1195,0.77573,0.97688,0.63402,0.52397,0.57031,0.42992,1.4338,1.19662,1.13566,0.006931,0.006931,0.006931
64,3829.61,1.12983,0.7641,0.9809,0.64158,0.49783,0.55186,0.4134,1.42994,1.18609,1.14043,0.0068815,0.0068815,0.0068815
65,3884.04,1.11813,0.77136,0.97827,0.56999,0.55865,0.5428,0.40584,1.43182,1.22771,1.12962,0.006832,0.006832,0.006832
66,3937.32,1.11126,0.75764,0.97224,0.66985,0.51331,0.56318,0.43316,1.43979,1.22608,1.13485,0.0067825,0.0067825,0.0067825
67,3991.41,1.10811,0.75271,0.97277,0.67544,0.49861,0.55793,0.42214,1.43692,1.20117,1.14335,0.006733,0.006733,0.006733
68,4043.71,1.09592,0.73723,0.96984,0.62119,0.51872,0.54948,0.41384,1.44427,1.21047,1.14231,0.0066835,0.0066835,0.0066835
69,4096.37,1.09111,0.74588,0.97576,0.54678,0.5696,0.55475,0.41396,1.43377,1.2278,1.13551,0.006634,0.006634,0.006634
70,4148.96,1.08176,0.72587,0.96261,0.67986,0.48902,0.57509,0.43694,1.41518,1.19062,1.1338,0.0065845,0.0065845,0.0065845
71,4201.58,1.06636,0.71008,0.95907,0.65885,0.51336,0.57787,0.42928,1.41958,1.27278,1.12742,0.006535,0.006535,0.006535
72,4254.11,1.07629,0.74402,0.95727,0.69315,0.49188,0.58268,0.43969,1.42252,1.18272,1.13558,0.0064855,0.0064855,0.0064855
73,4306.94,1.06143,0.71331,0.95849,0.63198,0.55923,0.58706,0.45028,1.4182,1.20642,1.13346,0.006436,0.006436,0.006436
74,4360.04,1.06638,0.70009,0.96311,0.67413,0.54201,0.59041,0.43984,1.43528,1.22172,1.14095,0.0063865,0.0063865,0.0063865
75,4412.51,1.06007,0.68869,0.95601,0.66911,0.54513,0.56637,0.43552,1.42485,1.1859,1.13618,0.006337,0.006337,0.006337
76,4465,1.04165,0.68617,0.94923,0.64633,0.54716,0.58581,0.44523,1.41299,1.20603,1.12963,0.0062875,0.0062875,0.0062875
77,4518.25,1.05559,0.69584,0.95277,0.61147,0.5712,0.57825,0.44685,1.4089,1.25471,1.12879,0.006238,0.006238,0.006238
78,4571.74,1.03416,0.67128,0.94634,0.64545,0.54734,0.56068,0.42771,1.40584,1.26341,1.1272,0.0061885,0.0061885,0.0061885
79,4624.24,1.0286,0.67568,0.94768,0.71889,0.52113,0.56534,0.43431,1.40744,1.20787,1.12841,0.006139,0.006139,0.006139
80,4676.85,1.02829,0.67117,0.94875,0.68595,0.53673,0.56733,0.43539,1.40701,1.21655,1.12678,0.0060895,0.0060895,0.0060895
81,4729.99,1.02345,0.65985,0.9411,0.67138,0.54544,0.58032,0.44453,1.4094,1.22004,1.13255,0.00604,0.00604,0.00604
82,4783.76,1.02621,0.65373,0.94891,0.65691,0.52765,0.56235,0.43869,1.4107,1.25069,1.12849,0.0059905,0.0059905,0.0059905
83,4836.97,1.01232,0.65705,0.94226,0.5912,0.5847,0.57502,0.44901,1.40883,1.22457,1.13376,0.005941,0.005941,0.005941
84,4890.57,1.0029,0.63834,0.93656,0.71684,0.5182,0.58658,0.45205,1.40116,1.21171,1.12859,0.0058915,0.0058915,0.0058915
85,4944.09,0.98934,0.63118,0.93452,0.64959,0.574,0.57848,0.45617,1.39504,1.19612,1.12911,0.005842,0.005842,0.005842
86,4997.37,0.99149,0.63615,0.93751,0.60734,0.58963,0.58315,0.45497,1.40032,1.28951,1.12841,0.0057925,0.0057925,0.0057925
87,5049.83,0.98494,0.6489,0.93231,0.69172,0.5387,0.58988,0.4642,1.40816,1.22145,1.13682,0.005743,0.005743,0.005743
88,5102.98,0.97872,0.62943,0.93432,0.64151,0.56754,0.58218,0.4447,1.39736,1.18244,1.12924,0.0056935,0.0056935,0.0056935
89,5156.08,0.97656,0.62129,0.93079,0.71305,0.51079,0.58335,0.4585,1.38725,1.2409,1.12256,0.005644,0.005644,0.005644
90,5207.83,0.96757,0.60939,0.92423,0.67662,0.52266,0.57942,0.46173,1.38962,1.27245,1.12622,0.0055945,0.0055945,0.0055945
91,5260.06,0.96739,0.61189,0.92568,0.69589,0.52741,0.57528,0.45098,1.39192,1.20922,1.13181,0.005545,0.005545,0.005545
92,5312.94,0.96259,0.60125,0.92777,0.73442,0.50848,0.59825,0.47109,1.37987,1.19521,1.12275,0.0054955,0.0054955,0.0054955
93,5366.15,0.95643,0.60194,0.9275,0.68808,0.54724,0.58791,0.4688,1.38917,1.2551,1.13135,0.005446,0.005446,0.005446
94,5418.32,0.95059,0.5944,0.92496,0.71333,0.52488,0.59925,0.47881,1.383,1.25182,1.12907,0.0053965,0.0053965,0.0053965
95,5471.01,0.93692,0.60035,0.91987,0.68517,0.55861,0.58477,0.46045,1.36875,1.24686,1.12679,0.005347,0.005347,0.005347
96,5523.89,0.93462,0.57982,0.91974,0.71518,0.54632,0.59909,0.47403,1.38211,1.23189,1.13236,0.0052975,0.0052975,0.0052975
97,5576.31,0.93206,0.59513,0.91786,0.72789,0.53675,0.59336,0.47004,1.37938,1.22622,1.13239,0.005248,0.005248,0.005248
98,5629.43,0.92115,0.57602,0.91883,0.70693,0.58365,0.61629,0.49342,1.37175,1.22134,1.1317,0.0051985,0.0051985,0.0051985
99,5683.39,0.92656,0.5751,0.91605,0.66364,0.58081,0.60087,0.48065,1.37673,1.24954,1.1363,0.005149,0.005149,0.005149
100,5736.58,0.92068,0.5687,0.91231,0.69573,0.5593,0.60525,0.48288,1.36661,1.19822,1.12858,0.0050995,0.0050995,0.0050995
101,5789.97,0.90425,0.55765,0.91403,0.75553,0.54495,0.61327,0.49328,1.36091,1.2426,1.12707,0.00505,0.00505,0.00505
102,5843.98,0.90616,0.55867,0.91448,0.73144,0.54988,0.60763,0.49108,1.36776,1.23537,1.13164,0.0050005,0.0050005,0.0050005
103,5896.71,0.90172,0.55534,0.90957,0.69849,0.56751,0.61812,0.50119,1.35827,1.18666,1.12664,0.004951,0.004951,0.004951
104,5950.86,0.90392,0.55697,0.91071,0.72033,0.53193,0.61067,0.49301,1.36075,1.23015,1.12732,0.0049015,0.0049015,0.0049015
105,6004.08,0.89103,0.54082,0.9039,0.73252,0.54937,0.60444,0.48414,1.35608,1.22113,1.12349,0.004852,0.004852,0.004852
106,6057.64,0.88723,0.54517,0.90193,0.73467,0.55252,0.61499,0.49946,1.36085,1.21192,1.12852,0.0048025,0.0048025,0.0048025
107,6110.84,0.8908,0.54771,0.90637,0.74092,0.55105,0.60584,0.49084,1.35479,1.19489,1.12594,0.004753,0.004753,0.004753
108,6163.46,0.88034,0.54136,0.90661,0.73416,0.55547,0.61608,0.50469,1.35159,1.24546,1.12614,0.0047035,0.0047035,0.0047035
109,6217.04,0.87591,0.532,0.90087,0.71786,0.57368,0.61807,0.49921,1.35249,1.22221,1.12583,0.004654,0.004654,0.004654
110,6270.45,0.87625,0.53521,0.90544,0.7107,0.57649,0.61041,0.48489,1.34945,1.21281,1.12668,0.0046045,0.0046045,0.0046045
111,6324.04,0.87466,0.53793,0.89703,0.71773,0.54793,0.61733,0.4944,1.34732,1.22242,1.12576,0.004555,0.004555,0.004555
112,6377.2,0.85774,0.52502,0.90005,0.72523,0.55296,0.61115,0.49461,1.35236,1.20682,1.12967,0.0045055,0.0045055,0.0045055
113,6430.76,0.84322,0.51436,0.89377,0.70195,0.57714,0.60699,0.48727,1.35466,1.19316,1.13176,0.004456,0.004456,0.004456
114,6484.28,0.84448,0.50919,0.89618,0.72981,0.55307,0.61788,0.5013,1.3511,1.21829,1.12864,0.0044065,0.0044065,0.0044065
115,6537.22,0.85462,0.51816,0.89709,0.71751,0.56482,0.61584,0.5037,1.34653,1.21628,1.12682,0.004357,0.004357,0.004357
116,6590.67,0.84626,0.52877,0.89854,0.72728,0.57522,0.62061,0.5125,1.34192,1.19943,1.13006,0.0043075,0.0043075,0.0043075
117,6644.37,0.83362,0.50789,0.89222,0.73878,0.56295,0.62771,0.51161,1.33955,1.20904,1.12814,0.004258,0.004258,0.004258
118,6696.93,0.82823,0.50288,0.8878,0.69596,0.60519,0.62627,0.51059,1.3386,1.20141,1.1279,0.0042085,0.0042085,0.0042085
119,6749.87,0.82949,0.49962,0.89042,0.7271,0.57908,0.63127,0.51021,1.34276,1.18393,1.12838,0.004159,0.004159,0.004159
120,6802.46,0.82886,0.50126,0.88987,0.71012,0.58726,0.6248,0.50563,1.34248,1.22568,1.12741,0.0041095,0.0041095,0.0041095
121,6855.89,0.81726,0.48943,0.88939,0.72093,0.60267,0.62322,0.50532,1.3347,1.22795,1.12807,0.00406,0.00406,0.00406
122,6908.48,0.8172,0.49317,0.8872,0.73291,0.56204,0.63521,0.51202,1.33151,1.22113,1.12851,0.0040105,0.0040105,0.0040105
123,6962.23,0.81267,0.4869,0.88472,0.74595,0.56959,0.62292,0.50562,1.32908,1.19982,1.12701,0.003961,0.003961,0.003961
124,7015.53,0.80826,0.48136,0.88333,0.75394,0.56808,0.6089,0.50034,1.33426,1.2431,1.12812,0.0039115,0.0039115,0.0039115
125,7068.54,0.80089,0.48797,0.88445,0.71938,0.58316,0.6106,0.49761,1.31946,1.24661,1.12488,0.003862,0.003862,0.003862
126,7121.43,0.78852,0.47843,0.88291,0.70467,0.59643,0.61297,0.5019,1.32435,1.23793,1.12888,0.0038125,0.0038125,0.0038125
127,7175.13,0.79235,0.47394,0.88105,0.71738,0.59462,0.61704,0.50229,1.32869,1.22655,1.13403,0.003763,0.003763,0.003763
128,7227.85,0.79059,0.46965,0.87858,0.72468,0.59353,0.61953,0.50953,1.32603,1.21501,1.13125,0.0037135,0.0037135,0.0037135
129,7281.01,0.79777,0.47778,0.87869,0.70938,0.59948,0.62516,0.50955,1.32184,1.22272,1.12744,0.003664,0.003664,0.003664
130,7334,0.77915,0.46474,0.87749,0.71494,0.59136,0.62076,0.51413,1.31505,1.22698,1.12609,0.0036145,0.0036145,0.0036145
131,7387.9,0.78023,0.46664,0.87723,0.75231,0.5803,0.62268,0.51169,1.31382,1.23191,1.13156,0.003565,0.003565,0.003565
132,7441.23,0.78138,0.46701,0.87644,0.71195,0.59073,0.61774,0.51089,1.31331,1.21336,1.1303,0.0035155,0.0035155,0.0035155
133,7494.52,0.76238,0.45208,0.87224,0.7244,0.58839,0.61896,0.51721,1.31438,1.23181,1.12928,0.003466,0.003466,0.003466
134,7547.49,0.7699,0.45939,0.87887,0.73316,0.5751,0.62175,0.51432,1.31314,1.25085,1.13087,0.0034165,0.0034165,0.0034165
135,7600.58,0.76835,0.45528,0.87363,0.72891,0.58423,0.62479,0.52592,1.30951,1.22148,1.13053,0.003367,0.003367,0.003367
136,7654.47,0.75466,0.44418,0.8705,0.76575,0.57664,0.63481,0.52358,1.30744,1.22794,1.13085,0.0033175,0.0033175,0.0033175
137,7706.88,0.74757,0.44579,0.86822,0.74748,0.58121,0.62792,0.51867,1.31056,1.243,1.13303,0.003268,0.003268,0.003268
138,7760.17,0.75684,0.44851,0.86902,0.75975,0.5848,0.63774,0.53509,1.31104,1.25362,1.1322,0.0032185,0.0032185,0.0032185
139,7813.84,0.74682,0.44473,0.87162,0.7503,0.57301,0.6291,0.52439,1.31256,1.23655,1.13452,0.003169,0.003169,0.003169
140,7866.43,0.7399,0.4462,0.87004,0.74879,0.57336,0.61953,0.52302,1.31339,1.2628,1.13328,0.0031195,0.0031195,0.0031195
141,7920.17,0.73873,0.43686,0.86626,0.72015,0.60625,0.62574,0.52587,1.3088,1.26063,1.13594,0.00307,0.00307,0.00307
142,7972.66,0.73285,0.43642,0.86607,0.76148,0.59378,0.62704,0.526,1.3053,1.25179,1.13589,0.0030205,0.0030205,0.0030205
143,8026.08,0.72459,0.43352,0.86173,0.74939,0.58805,0.62112,0.51885,1.30148,1.26565,1.13497,0.002971,0.002971,0.002971
144,8079.4,0.73457,0.44032,0.86578,0.71696,0.59551,0.6246,0.52426,1.29831,1.25689,1.13404,0.0029215,0.0029215,0.0029215
145,8132.28,0.72625,0.42932,0.86375,0.7248,0.59259,0.62602,0.52,1.29771,1.24261,1.13522,0.002872,0.002872,0.002872
146,8185.91,0.72248,0.43322,0.86046,0.73244,0.59884,0.62597,0.51886,1.29403,1.22818,1.13203,0.0028225,0.0028225,0.0028225
