epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2365.81,1.27349,0.9133,1.03937,0.55744,0.29535,0.29939,0.19122,1.43256,1.2177,1.12183,0.007921,0.007921,0.007921
44,2418.86,1.26263,0.89986,1.03826,0.46207,0.32677,0.29944,0.19002,1.44262,1.18502,1.136,0.0078715,0.0078715,0.0078715
45,2472.68,1.25682,0.88706,1.03854,0.52322,0.30951,0.3101,0.19492,1.43237,1.20571,1.12934,0.007822,0.007822,0.007822
46,2526.22,1.25413,0.88506,1.03245,0.44403,0.34446,0.30626,0.19526,1.43764,1.17729,1.12913,0.0077725,0.0077725,0.0077725
47,2579.31,1.25482,0.87184,1.02816,0.56032,0.28833,0.31177,0.19413,1.45012,1.1976,1.13523,0.007723,0.007723,0.007723
48,2632.94,1.24673,0.87027,1.0303,0.45759,0.33813,0.30997,0.1964,1.44561,1.20197,1.13389,0.0076735,0.0076735,0.0076735
49,2686.36,1.23586,0.84797,1.02201,0.48428,0.32647,0.3257,0.2017,1.44527,1.1909,1.13888,0.007624,0.007624,0.007624
50,2739.47,1.22975,0.84004,1.02602,0.46366,0.32667,0.321,0.20671,1.44821,1.18939,1.13482,0.0075745,0.0075745,0.0075745
51,2793.67,1.23292,0.84988,1.02279,0.58228,0.30259,0.30919,0.19654,1.43712,1.20516,1.13179,0.007525,0.007525,0.007525
52,2847.11,1.2258,0.82976,1.02961,0.47082,0.32542,0.3052,0.19427,1.44764,1.21221,1.13358,0.0074755,0.0074755,0.0074755
53,2900.08,1.21681,0.82256,1.01816,0.49739,0.32932,0.31649,0.19953,1.43677,1.18052,1.13301,0.007426,0.007426,0.007426
54,2953.78,1.21025,0.81728,1.01801,0.51994,0.32057,0.31043,0.19459,1.45317,1.20386,1.13142,0.0073765,0.0073765,0.0073765
55,3006.97,1.20776,0.81446,1.01628,0.53848,0.31242,0.32307,0.20763,1.4364,1.18819,1.12486,0.007327,0.007327,0.007327
56,3060.94,1.19765,0.79621,1.01377,0.51641,0.31382,0.30736,0.18736,1.43964,1.21093,1.13538,0.0072775,0.0072775,0.0072775
57,3113.94,1.18353,0.79406,1.00855,0.4721,0.3107,0.29555,0.1824,1.45674,1.19156,1.13933,0.007228,0.007228,0.007228
58,3166.88,1.18686,0.79206,1.00854,0.56681,0.28726,0.30945,0.19287,1.45485,1.19685,1.13749,0.0071785,0.0071785,0.0071785
59,3220.63,1.18271,0.78212,1.0052,0.56104,0.29675,0.3185,0.20138,1.44758,1.19101,1.13439,0.007129,0.007129,0.007129
60,3273.93,1.17691,0.77977,1.00369,0.5324,0.30599,0.32847,0.21115,1.44743,1.20888,1.13508,0.0070795,0.0070795,0.0070795
61,3327.94,1.17675,0.77894,0.9989,0.49824,0.31204,0.32347,0.19834,1.45869,1.1707,1.14273,0.00703,0.00703,0.00703
62,3381.38,1.16199,0.76592,1.00065,0.47869,0.33679,0.33706,0.2134,1.45616,1.19089,1.13831,0.0069805,0.0069805,0.0069805
63,3435.21,1.16027,0.76161,0.99913,0.49023,0.36453,0.33964,0.214,1.44686,1.18402,1.14167,0.006931,0.006931,0.006931
64,3488.99,1.15897,0.75378,0.99591,0.44281,0.3463,0.33021,0.21114,1.45287,1.20569,1.13907,0.0068815,0.0068815,0.0068815
65,3542.12,1.1589,0.75451,0.99754,0.49707,0.3255,0.31555,0.2003,1.46188,1.21848,1.14116,0.006832,0.006832,0.006832
66,3595.66,1.14428,0.74137,0.99347,0.50683,0.3248,0.32549,0.20631,1.4603,1.20031,1.13894,0.0067825,0.0067825,0.0067825
67,3649.17,1.14253,0.73939,0.99126,0.54652,0.30817,0.33226,0.20781,1.45549,1.20075,1.13934,0.006733,0.006733,0.006733
68,3702.13,1.13771,0.73,0.99213,0.50313,0.31727,0.32612,0.20387,1.46411,1.21072,1.14759,0.0066835,0.0066835,0.0066835
69,3755.75,1.12675,0.71639,0.98505,0.52777,0.34787,0.34051,0.21765,1.45268,1.21097,1.14229,0.006634,0.006634,0.006634
70,3809.39,1.11917,0.71959,0.98943,0.41906,0.3645,0.32828,0.21158,1.45105,1.21131,1.14198,0.0065845,0.0065845,0.0065845
71,3862.7,1.1229,0.71575,0.98527,0.41915,0.3484,0.31929,0.19808,1.46446,1.2257,1.14795,0.006535,0.006535,0.006535
72,3916.21,1.10704,0.70881,0.97957,0.46531,0.33752,0.32565,0.20508,1.46317,1.21431,1.14622,0.0064855,0.0064855,0.0064855
73,3969.67,1.11353,0.69576,0.97982,0.46038,0.34965,0.3254,0.20064,1.45707,1.19985,1.14334,0.006436,0.006436,0.006436
74,4023.17,1.10494,0.69812,0.97635,0.46097,0.34476,0.32073,0.20086,1.46216,1.24819,1.14625,0.0063865,0.0063865,0.0063865
75,4076.19,1.09372,0.68911,0.97845,0.51825,0.32553,0.3252,0.20583,1.47935,1.24996,1.15221,0.006337,0.006337,0.006337
76,4129.43,1.08662,0.68272,0.96824,0.50396,0.33277,0.33032,0.21039,1.46366,1.2217,1.1509,0.0062875,0.0062875,0.0062875
77,4183.17,1.0933,0.68556,0.9789,0.42243,0.33722,0.32226,0.20277,1.46581,1.24062,1.14934,0.006238,0.006238,0.006238
78,4236.23,1.08396,0.67427,0.96844,0.44733,0.31687,0.32058,0.20233,1.46755,1.23932,1.15069,0.0061885,0.0061885,0.0061885
79,4289.83,1.07037,0.6588,0.96485,0.44732,0.3258,0.31479,0.19586,1.47058,1.24076,1.15256,0.006139,0.006139,0.006139
80,4342.94,1.07594,0.66887,0.97195,0.53409,0.30506,0.31695,0.20089,1.46589,1.26097,1.15228,0.0060895,0.0060895,0.0060895
81,4396.37,1.06971,0.66743,0.96504,0.52903,0.30041,0.32078,0.20532,1.47261,1.23539,1.15459,0.00604,0.00604,0.00604
82,4449.91,1.06308,0.65985,0.96471,0.42904,0.34982,0.32547,0.20971,1.46283,1.24556,1.14734,0.0059905,0.0059905,0.0059905
83,4502.75,1.05536,0.65199,0.96448,0.44455,0.34694,0.32144,0.20514,1.47771,1.26106,1.15271,0.005941,0.005941,0.005941
84,4556.45,1.04781,0.6469,0.95918,0.542,0.30056,0.32397,0.21046,1.47336,1.23933,1.15338,0.0058915,0.0058915,0.0058915
85,4609.61,1.04013,0.64067,0.9585,0.5156,0.30464,0.3238,0.20811,1.47837,1.24747,1.15698,0.005842,0.005842,0.005842
86,4663.12,1.02946,0.63166,0.95168,0.54736,0.31492,0.33397,0.21727,1.46861,1.25292,1.15264,0.0057925,0.0057925,0.0057925
87,4716.02,1.03409,0.63204,0.95759,0.51748,0.34524,0.33833,0.2165,1.47329,1.23375,1.15617,0.005743,0.005743,0.005743
88,4769.35,1.02276,0.62866,0.95091,0.51919,0.32781,0.33033,0.21282,1.46804,1.25407,1.15586,0.0056935,0.0056935,0.0056935
89,4822.88,1.02616,0.6274,0.94903,0.56258,0.29469,0.32763,0.2095,1.4701,1.26226,1.15477,0.005644,0.005644,0.005644
90,4875.83,1.01564,0.61531,0.95007,0.49441,0.33937,0.33192,0.21218,1.46939,1.26561,1.15751,0.0055945,0.0055945,0.0055945
91,4929.46,1.01403,0.61447,0.94786,0.53156,0.29066,0.32163,0.2047,1.4753,1.28502,1.16041,0.005545,0.005545,0.005545
92,4982.74,1.01517,0.61323,0.94726,0.45702,0.36332,0.33236,0.21553,1.47178,1.26616,1.15957,0.0054955,0.0054955,0.0054955
93,5035.71,1.00356,0.60195,0.94692,0.52946,0.32786,0.33399,0.21691,1.47346,1.27148,1.15455,0.005446,0.005446,0.005446
94,5089.13,0.99644,0.6019,0.94224,0.50382,0.34477,0.33397,0.21375,1.47756,1.30021,1.1582,0.0053965,0.0053965,0.0053965
95,5142.13,0.98189,0.59687,0.94121,0.55167,0.29976,0.33144,0.21103,1.48436,1.28806,1.16093,0.005347,0.005347,0.005347
96,5195.39,0.99271,0.59436,0.93953,0.49849,0.33723,0.33005,0.21136,1.48011,1.29784,1.15998,0.0052975,0.0052975,0.0052975
97,5248.28,0.99515,0.59188,0.94507,0.52585,0.32605,0.32409,0.20942,1.48454,1.30111,1.1624,0.005248,0.005248,0.005248
98,5301.28,0.97762,0.5872,0.93849,0.49144,0.3332,0.33307,0.21568,1.47682,1.29134,1.1636,0.0051985,0.0051985,0.0051985
99,5354.93,0.96953,0.57229,0.9351,0.50004,0.34511,0.32796,0.21337,1.48083,1.29315,1.16721,0.005149,0.005149,0.005149
100,5408.05,0.96371,0.57781,0.92965,0.51229,0.33284,0.31857,0.20313,1.4843,1.28301,1.16396,0.0050995,0.0050995,0.0050995
101,5461.42,0.96761,0.58374,0.93419,0.5639,0.29235,0.32964,0.21263,1.48359,1.28573,1.16785,0.00505,0.00505,0.00505
