epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3460.9,1.31008,0.97614,1.04992,0.56585,0.56342,0.6239,0.44087,1.29878,0.91464,1.06553,0.007921,0.007921,0.007921
44,3540.34,1.3036,0.95867,1.0461,0.76567,0.46975,0.65527,0.45354,1.26889,0.87857,1.05217,0.0078715,0.0078715,0.0078715
45,3620.72,1.29915,0.95501,1.04788,0.65484,0.58204,0.67549,0.46782,1.26622,0.87641,1.05467,0.007822,0.007822,0.007822
46,3700.25,1.29375,0.9407,1.04508,0.67809,0.53061,0.65929,0.45454,1.26443,0.88478,1.05131,0.0077725,0.0077725,0.0077725
47,3778.96,1.30192,0.94574,1.04171,0.59764,0.591,0.66953,0.47187,1.25779,0.86252,1.04797,0.007723,0.007723,0.007723
48,3858.72,1.2973,0.94067,1.04293,0.72082,0.53135,0.69217,0.47908,1.25718,0.87111,1.05033,0.0076735,0.0076735,0.0076735
49,3939.73,1.2905,0.93378,1.03888,0.75352,0.53939,0.70184,0.48423,1.24949,0.83547,1.04391,0.007624,0.007624,0.007624
50,4019.88,1.28213,0.91647,1.03569,0.75022,0.53537,0.67167,0.47067,1.24077,0.86288,1.04487,0.0075745,0.0075745,0.0075745
51,4101.22,1.28722,0.91673,1.03447,0.66938,0.54951,0.68601,0.48259,1.23812,0.84665,1.04346,0.007525,0.007525,0.007525
52,4181.03,1.27752,0.93129,1.03863,0.6149,0.62825,0.70485,0.50088,1.23332,0.83696,1.03448,0.0074755,0.0074755,0.0074755
53,4261.56,1.26064,0.9012,1.03045,0.7861,0.52503,0.69364,0.49229,1.22337,0.80963,1.03523,0.007426,0.007426,0.007426
54,4341.53,1.27625,0.90218,1.03091,0.65147,0.62334,0.75201,0.52896,1.21697,0.81169,1.03517,0.0073765,0.0073765,0.0073765
55,4422.09,1.27567,0.88764,1.02993,0.67172,0.62689,0.73104,0.51544,1.21705,0.80742,1.03327,0.007327,0.007327,0.007327
56,4502.9,1.26641,0.8853,1.02924,0.68457,0.60562,0.74234,0.52916,1.20164,0.77277,1.02822,0.0072775,0.0072775,0.0072775
57,4583.13,1.24582,0.87042,1.02301,0.78164,0.59589,0.75572,0.53725,1.18895,0.76585,1.01905,0.007228,0.007228,0.007228
58,4663.79,1.25332,0.87117,1.02252,0.76648,0.62238,0.76619,0.54224,1.19604,0.77376,1.02212,0.0071785,0.0071785,0.0071785
59,4744.62,1.2561,0.86255,1.02141,0.73803,0.6361,0.7767,0.54966,1.18598,0.75983,1.01755,0.007129,0.007129,0.007129
60,4824.96,1.23882,0.86,1.01471,0.787,0.62529,0.77735,0.55644,1.17404,0.73854,1.01484,0.0070795,0.0070795,0.0070795
61,4905.39,1.23678,0.8454,1.01676,0.73573,0.66949,0.77523,0.5709,1.16909,0.72687,1.01252,0.00703,0.00703,0.00703
62,4986.25,1.24688,0.85542,1.0199,0.77026,0.6443,0.78713,0.56687,1.16217,0.72861,1.00872,0.0069805,0.0069805,0.0069805
63,5066.09,1.22894,0.84111,1.01615,0.70085,0.67055,0.79405,0.57275,1.16084,0.71987,1.00814,0.006931,0.006931,0.006931
64,5146.84,1.22648,0.83249,1.01161,0.77981,0.67147,0.81996,0.59413,1.15662,0.71401,1.00854,0.0068815,0.0068815,0.0068815
65,5228.43,1.2175,0.82125,1.01061,0.77325,0.67835,0.80756,0.58195,1.13797,0.70037,1.00469,0.006832,0.006832,0.006832
66,5308.38,1.21989,0.81496,1.0151,0.83997,0.62652,0.8111,0.59553,1.13787,0.71285,1.00269,0.0067825,0.0067825,0.0067825
67,5388.47,1.21298,0.81938,1.01348,0.69765,0.7479,0.82023,0.60822,1.13429,0.69908,0.9974,0.006733,0.006733,0.006733
68,5469.08,1.21382,0.81422,1.00988,0.72212,0.71278,0.80742,0.5983,1.12096,0.69117,0.99159,0.0066835,0.0066835,0.0066835
69,5548.1,1.20829,0.80503,1.0101,0.65222,0.76014,0.81927,0.60017,1.10864,0.67712,0.99001,0.006634,0.006634,0.006634
70,5627.83,1.19797,0.80119,1.00672,0.75907,0.71671,0.82892,0.60643,1.12377,0.68251,0.99503,0.0065845,0.0065845,0.0065845
71,5707.78,1.19925,0.79459,1.00656,0.80365,0.70023,0.82275,0.6117,1.09879,0.66254,0.9868,0.006535,0.006535,0.006535
72,5787.51,1.19382,0.78533,1.00183,0.7928,0.70659,0.83452,0.61868,1.09577,0.65743,0.98505,0.0064855,0.0064855,0.0064855
73,5866.48,1.18066,0.77391,0.99706,0.81486,0.71854,0.84308,0.62739,1.09467,0.64719,0.98609,0.006436,0.006436,0.006436
74,5946.74,1.18638,0.78003,1.00367,0.70274,0.77829,0.8427,0.63287,1.07709,0.65237,0.97863,0.0063865,0.0063865,0.0063865
75,6026.65,1.16858,0.76911,0.99587,0.72901,0.77405,0.85004,0.63791,1.07416,0.63191,0.97769,0.006337,0.006337,0.006337
76,6106.59,1.17255,0.76661,0.99468,0.8154,0.72064,0.85579,0.63377,1.0692,0.62869,0.97674,0.0062875,0.0062875,0.0062875
77,6186.23,1.17122,0.75689,0.99579,0.70673,0.79465,0.86007,0.63294,1.05958,0.61908,0.96894,0.006238,0.006238,0.006238
78,6265.71,1.16489,0.75229,0.99466,0.80686,0.76025,0.88984,0.66686,1.05066,0.61217,0.96859,0.0061885,0.0061885,0.0061885
79,6345.41,1.15409,0.74202,0.9905,0.82384,0.7664,0.87686,0.6623,1.04556,0.60725,0.96706,0.006139,0.006139,0.006139
80,6425.68,1.15202,0.74256,0.98949,0.85046,0.75349,0.87236,0.65711,1.03705,0.59638,0.96396,0.0060895,0.0060895,0.0060895
81,6505.17,1.15553,0.73786,0.99445,0.81339,0.76719,0.88237,0.67269,1.0337,0.59525,0.96208,0.00604,0.00604,0.00604
82,6585.31,1.1445,0.73427,0.98635,0.80398,0.80686,0.89904,0.68337,1.02093,0.58393,0.95753,0.0059905,0.0059905,0.0059905
83,6665.85,1.13919,0.72866,0.986,0.80204,0.81686,0.89555,0.68453,1.01017,0.58383,0.95379,0.005941,0.005941,0.005941
84,6746.6,1.13862,0.71974,0.97869,0.77868,0.83253,0.91098,0.69551,1.00453,0.57299,0.95167,0.0058915,0.0058915,0.0058915
85,6826.24,1.12763,0.72812,0.9795,0.74753,0.87043,0.91452,0.705,1.00107,0.56701,0.95142,0.005842,0.005842,0.005842
86,6906.65,1.12726,0.7116,0.9802,0.80268,0.82271,0.91424,0.70734,0.99516,0.56294,0.94745,0.0057925,0.0057925,0.0057925
87,6986.26,1.12144,0.71574,0.98007,0.79162,0.85486,0.91262,0.69548,0.98491,0.55654,0.94626,0.005743,0.005743,0.005743
88,7066.05,1.11862,0.71001,0.9719,0.83701,0.82944,0.91932,0.70601,0.98802,0.55172,0.94749,0.0056935,0.0056935,0.0056935
89,7146.63,1.11349,0.70224,0.97365,0.83374,0.82206,0.92183,0.70622,0.97631,0.55508,0.94312,0.005644,0.005644,0.005644
90,7226.16,1.11046,0.69422,0.97181,0.87809,0.80509,0.92728,0.71573,0.9713,0.54494,0.9415,0.0055945,0.0055945,0.0055945
91,7306.37,1.10535,0.68924,0.96976,0.84131,0.80044,0.92268,0.7173,0.95915,0.53653,0.93629,0.005545,0.005545,0.005545
92,7386.51,1.09678,0.68674,0.96927,0.81436,0.87754,0.92975,0.71663,0.95495,0.53435,0.93506,0.0054955,0.0054955,0.0054955
93,7466.65,1.07845,0.67823,0.96746,0.78984,0.87328,0.93307,0.72918,0.94373,0.53055,0.93344,0.005446,0.005446,0.005446
94,7546.96,1.08665,0.67893,0.96958,0.87012,0.84471,0.93525,0.72998,0.93604,0.51601,0.92984,0.0053965,0.0053965,0.0053965
95,7627.1,1.0811,0.6701,0.9671,0.80227,0.87638,0.93267,0.7315,0.93227,0.51463,0.92925,0.005347,0.005347,0.005347
96,7707.23,1.07333,0.66304,0.96307,0.77195,0.90533,0.93363,0.73134,0.92733,0.50888,0.92656,0.0052975,0.0052975,0.0052975
97,7787.13,1.06956,0.66369,0.96041,0.82426,0.8968,0.93751,0.73752,0.91384,0.49963,0.92161,0.005248,0.005248,0.005248
98,7867.39,1.05775,0.64913,0.96202,0.82077,0.87334,0.93594,0.73864,0.90942,0.49811,0.91945,0.0051985,0.0051985,0.0051985
99,7947.07,1.06143,0.6495,0.95819,0.84061,0.88815,0.94003,0.7477,0.89641,0.48883,0.91552,0.005149,0.005149,0.005149
100,8028.27,1.04836,0.64119,0.95618,0.8316,0.88418,0.94267,0.74995,0.89138,0.4862,0.91416,0.0050995,0.0050995,0.0050995
101,8108.65,1.05226,0.64844,0.95856,0.85995,0.87606,0.94616,0.75233,0.8801,0.48331,0.90999,0.00505,0.00505,0.00505
102,8190.69,1.05256,0.63947,0.9533,0.87872,0.86169,0.94886,0.76097,0.87007,0.47397,0.90809,0.0050005,0.0050005,0.0050005
103,8272.44,1.04351,0.634,0.95477,0.82543,0.90529,0.94648,0.76003,0.86205,0.46979,0.90571,0.004951,0.004951,0.004951
104,8352.26,1.02874,0.62463,0.94723,0.8881,0.86184,0.9493,0.76315,0.85277,0.46429,0.90293,0.0049015,0.0049015,0.0049015
