epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2700.32,1.11005,0.79697,0.95934,0.5519,0.14125,0.16607,0.1044,1.57338,1.86644,1.17739,2.76046e-05,2.76046e-05,2.76046e-05
40,2765.32,1.10158,0.77691,0.96342,0.49476,0.15103,0.14112,0.08244,1.5827,1.86575,1.17964,2.74363e-05,2.74363e-05,2.74363e-05
41,2829.99,1.09241,0.78579,0.95827,0.4448,0.18433,0.16099,0.09526,1.5738,1.82074,1.17839,2.7268e-05,2.7268e-05,2.7268e-05
42,2893.77,1.09768,0.76975,0.95904,0.53617,0.16644,0.15961,0.09541,1.58414,1.84103,1.18765,2.70997e-05,2.70997e-05,2.70997e-05
43,2958.55,1.08407,0.7647,0.95798,0.45756,0.21795,0.18383,0.10533,1.60116,1.869,1.19824,2.69314e-05,2.69314e-05,2.69314e-05
44,3022.9,1.08411,0.75784,0.9554,0.4313,0.20288,0.16972,0.099,1.57888,1.84786,1.18778,2.67631e-05,2.67631e-05,2.67631e-05
45,3087.55,1.08187,0.7609,0.95535,0.44376,0.1756,0.17231,0.11082,1.594,1.8911,1.19296,2.65948e-05,2.65948e-05,2.65948e-05
46,3152.31,1.06559,0.74669,0.9494,0.41604,0.24369,0.1847,0.11014,1.57656,1.8601,1.18643,2.64265e-05,2.64265e-05,2.64265e-05
47,3217.16,1.05408,0.73368,0.94925,0.42356,0.22398,0.18261,0.10916,1.57916,1.84959,1.19089,2.62582e-05,2.62582e-05,2.62582e-05
48,3281.8,1.06148,0.73192,0.95029,0.3669,0.21696,0.18114,0.1147,1.57521,1.83841,1.18289,2.60899e-05,2.60899e-05,2.60899e-05
49,3346.94,1.0557,0.73251,0.94521,0.37438,0.22365,0.17601,0.10022,1.5794,1.90952,1.19118,2.59216e-05,2.59216e-05,2.59216e-05
50,3411.17,1.04956,0.71986,0.94305,0.37513,0.22744,0.16775,0.09823,1.58108,1.9222,1.18861,2.57533e-05,2.57533e-05,2.57533e-05
51,3477.09,1.03941,0.72575,0.94567,0.55667,0.15814,0.17369,0.11097,1.5851,1.88566,1.19671,2.5585e-05,2.5585e-05,2.5585e-05
52,3540.95,1.03404,0.69058,0.93718,0.40476,0.22152,0.16859,0.10235,1.59988,1.89125,1.2064,2.54167e-05,2.54167e-05,2.54167e-05
53,3605.55,1.02927,0.70187,0.94051,0.52372,0.16074,0.14621,0.09126,1.58765,1.91803,1.19888,2.52484e-05,2.52484e-05,2.52484e-05
54,3670.26,1.02312,0.68942,0.93802,0.4824,0.18929,0.17598,0.10215,1.5889,1.91999,1.19522,2.50801e-05,2.50801e-05,2.50801e-05
55,3734.28,1.01865,0.67739,0.93554,0.41519,0.22601,0.17531,0.10223,1.58999,1.89245,1.19982,2.49118e-05,2.49118e-05,2.49118e-05
56,3798.71,1.01473,0.67716,0.93539,0.37165,0.22186,0.16842,0.09894,1.58225,1.93072,1.19447,2.47435e-05,2.47435e-05,2.47435e-05
57,3863.36,1.00389,0.66758,0.93401,0.43694,0.22213,0.17745,0.10321,1.59107,1.92303,1.19465,2.45752e-05,2.45752e-05,2.45752e-05
58,3927.92,1.00433,0.67439,0.93203,0.39866,0.23591,0.18104,0.11835,1.58633,1.90491,1.19901,2.44069e-05,2.44069e-05,2.44069e-05
