epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2414.61,1.23133,0.90874,1.01182,0.58258,0.42124,0.44792,0.32019,1.49002,1.2551,1.14777,0.007921,0.007921,0.007921
44,2470.07,1.23999,0.92998,1.02025,0.60329,0.36673,0.41271,0.29568,1.47947,1.26321,1.14585,0.0078715,0.0078715,0.0078715
45,2523.67,1.2265,0.92783,1.01917,0.48156,0.54603,0.47328,0.3491,1.4761,1.22815,1.14102,0.007822,0.007822,0.007822
46,2579.7,1.2257,0.90439,1.0091,0.55218,0.48909,0.48109,0.3425,1.46295,1.22714,1.13462,0.0077725,0.0077725,0.0077725
47,2636.87,1.21532,0.91442,1.00753,0.51545,0.51633,0.46984,0.33566,1.48108,1.24253,1.14424,0.007723,0.007723,0.007723
48,2691.02,1.2108,0.89874,1.00583,0.57444,0.46987,0.49178,0.35421,1.45699,1.22795,1.13388,0.0076735,0.0076735,0.0076735
49,2747.02,1.20935,0.88455,1.00553,0.59431,0.47199,0.49397,0.34962,1.47793,1.23372,1.13643,0.007624,0.007624,0.007624
50,2802.13,1.20034,0.87234,1.00435,0.6195,0.39919,0.50473,0.35804,1.46598,1.20078,1.1425,0.0075745,0.0075745,0.0075745
51,2856.21,1.18862,0.85019,1.0023,0.52446,0.53915,0.48705,0.34832,1.45863,1.24399,1.13404,0.007525,0.007525,0.007525
52,2913.12,1.17523,0.84358,0.99182,0.61778,0.45754,0.49814,0.36306,1.46221,1.21448,1.13449,0.0074755,0.0074755,0.0074755
53,2967.98,1.17274,0.83202,0.99429,0.67989,0.42982,0.52119,0.38318,1.46126,1.20235,1.13756,0.007426,0.007426,0.007426
54,3022.49,1.1577,0.83628,0.99412,0.62593,0.47629,0.54024,0.39801,1.46017,1.19927,1.14122,0.0073765,0.0073765,0.0073765
55,3079.55,1.15843,0.81937,0.98792,0.53089,0.53244,0.51811,0.37706,1.46617,1.2248,1.14019,0.007327,0.007327,0.007327
56,3133.13,1.16365,0.82564,0.98738,0.61456,0.49015,0.51464,0.37572,1.44007,1.23982,1.13605,0.0072775,0.0072775,0.0072775
57,3186.24,1.17028,0.8252,0.99048,0.60484,0.48711,0.5236,0.37798,1.48278,1.25786,1.14301,0.007228,0.007228,0.007228
58,3243.99,1.15122,0.79855,0.99105,0.6249,0.4909,0.55945,0.4019,1.44609,1.2088,1.13209,0.0071785,0.0071785,0.0071785
59,3299.66,1.13067,0.77904,0.97907,0.54815,0.53197,0.51716,0.37718,1.44015,1.20979,1.13026,0.007129,0.007129,0.007129
60,3353.5,1.12892,0.76715,0.97925,0.63038,0.49438,0.52493,0.38064,1.44703,1.22013,1.13395,0.0070795,0.0070795,0.0070795
